Capacitance,Resistance,Case/Package,Case/Package (SI),Package/Case,Comment,Description,Designator,Quantity

"","","","","","LED","LED; PCB ; Green; 0.63mcd; 3mm; T-1; 7mA; 1.9V; 565nm; 25deg; GaP on GaP; 20V; 20mW; -40","3_3V","1"
"","","","","","LED","LED; PCB ; Green; 0.63mcd; 3mm; T-1; 7mA; 1.9V; 565nm; 25deg; GaP on GaP; 20V; 20mW; -40","5V","1"
"","5.1K Ohms","1206 (3216)","","","1206 (3216)","Generic Resistor pad 1206 Imperial and 3216 Metric","ACS710_R_Sense","1"
"10.0 µF","","","","","10uF","Capacitor Tantalum Solid 10uF 25V 10% (5.5 X 9mm) Radial 2.5mm 2.5 Ohm 125C Bulk","C1","1"
"10.0 µF","","","","","10uF","Capacitor Tantalum Solid 10uF 25V 10% (5.5 X 9mm) Radial 2.5mm 2.5 Ohm 125C Bulk","C2","1"
"10.0 µF","","","","","10uF","Capacitor Tantalum Solid 10uF 25V 10% (5.5 X 9mm) Radial 2.5mm 2.5 Ohm 125C Bulk","C3","1"
"","","","","3216 (SI)",".1uF","Cap Ceramic 1uF 25V X7R 20% SMD 1206 125C Plastic T/R","C4","1"
"","","","","3216 (SI)","1uF","Cap Ceramic 1uF 25V X7R 20% SMD 1206 125C Plastic T/R","C5","1"
"","","","","3216 (SI)",".1uF","Cap Ceramic 1uF 25V X7R 20% SMD 1206 125C Plastic T/R","C6","1"
"","","","","3216 (SI)",".1uF","Cap Ceramic 1uF 25V X7R 20% SMD 1206 125C Plastic T/R","C7","1"
"","","","","3216 (SI)",".1uF","Cap Ceramic 1uF 25V X7R 20% SMD 1206 125C Plastic T/R","C8","1"
"","","SOD-123","","","1N4148","Fast Switching Diode, 100V, 400mW, Surface Mount, SOD-123","D1","1"
"","","SOD-123","","","1N4148","Fast Switching Diode, 100V, 400mW, Surface Mount, SOD-123","D2","1"
"","","SOD-123","","","1N4148","Fast Switching Diode, 100V, 400mW, Surface Mount, SOD-123","D3","1"
"","","","","","Maxim Integrated MAX40200AUK+T","MAX40200AUK Seires 5.5 V 1 A MicropowerCurrent Switch Diode - SOT23-5","D4","1"
"","","","","","Maxim Integrated MAX40200AUK+T","MAX40200AUK Seires 5.5 V 1 A MicropowerCurrent Switch Diode - SOT23-5","D5","1"
"","","","","","SYM-889e43fc15205759-1","Thermal Circuit Breaker, Push to Reset, 250VAC, 5AMP, .250 Quick Connect","F1","1"
"","","","","","XT30","Very similar to the XT60 models, but smaller and made for 30A","J1","1"
"","","","","","Würth Elektronik 61300311121","Board-To-Board Connector, Vertical, Wr-Phd Series, Through Hole, Header, 3, 2.54 Mm","J2","1"
"","","","","","TE Connectivity / AMP 292304-1","Surface Mount Right Angle USB B Connector","J3","1"
"","","","","","Qualtek 739W-X2/32","Receptacle; Female; Convenience Outlet; NEMA 5-15R; PCB Terminals; Black; 15A; 125VAC","J4","1"
"","","","","","Qualtek 739W-X2/32","Receptacle; Female; Convenience Outlet; NEMA 5-15R; PCB Terminals; Black; 15A; 125VAC","J5","1"
"","","","","","Qualtek 739W-X2/32","Receptacle; Female; Convenience Outlet; NEMA 5-15R; PCB Terminals; Black; 15A; 125VAC","J6","1"
"","","","","","","Electromechanical Relay 5VDC 15A SPDT (( 19.2mm 15.5mm 15mm)) THT General Purpose Relay","K1","1"
"","","","","","","Electromechanical Relay 5VDC 15A SPDT (( 19.2mm 15.5mm 15mm)) THT General Purpose Relay","K2","1"
"","","","","","","Electromechanical Relay 5VDC 15A SPDT (( 19.2mm 15.5mm 15mm)) THT General Purpose Relay","K3","1"
"","","","","","Espressif Systems ESP32-WROOM-32","Wi-Fi/BT BLE Module ESP32-D0WDQ6, SPI Flash, UART","M1","1"
"","","","","","LED","LED; PCB ; Green; 0.63mcd; 3mm; T-1; 7mA; 1.9V; 565nm; 25deg; GaP on GaP; 20V; 20mW; -40","N1","1"
"","","","","","LED","LED; PCB ; Green; 0.63mcd; 3mm; T-1; 7mA; 1.9V; 565nm; 25deg; GaP on GaP; 20V; 20mW; -40","N2","1"
"","","","","","LED","LED; PCB ; Green; 0.63mcd; 3mm; T-1; 7mA; 1.9V; 565nm; 25deg; GaP on GaP; 20V; 20mW; -40","N3","1"
"","","SOT-363","","","MBT2222ADW1T1G","General Purpose Transistor, NPN Silicon, 6-Pin SOT-363, Pb-Free, Tape and Reel","Q1","1"
"","","SOT-363","","","MBT2222ADW1T1G","General Purpose Transistor, NPN Silicon, 6-Pin SOT-363, Pb-Free, Tape and Reel","Q2","1"
"","","SOT-363","","","MBT2222ADW1T1G","General Purpose Transistor, NPN Silicon, 6-Pin SOT-363, Pb-Free, Tape and Reel","Q3","1"
"","1.00 M","0603 (SI)","","","Yageo RC0201FR-071ML","Res Thick Film 0201 1M Ohm 1% 1/20W ±200ppm/°C Molded SMD SMD Paper T/R","R1","1"
"","1.00 M","0603 (SI)","","","Yageo RC0201FR-071ML","Res Thick Film 0201 1M Ohm 1% 1/20W ±200ppm/°C Molded SMD SMD Paper T/R","R2","1"
"","1.00 M","0603 (SI)","","","Yageo RC0201FR-071ML","Res Thick Film 0201 1M Ohm 1% 1/20W ±200ppm/°C Molded SMD SMD Paper T/R","R3","1"
"","1.5K","","","2012","Vishay Dale TNPU0805100KBZEN00","Thin Film Resistors - SMD 1/8watt 100Kohms 0.1% 5ppm","R4","1"
"","3.48K","","","2012","Vishay Dale TNPU0805100KBZEN00","Thin Film Resistors - SMD 1/8watt 100Kohms 0.1% 5ppm","R5","1"
"","1.00 M","0603 (SI)","","","Yageo RC0201FR-071ML","Res Thick Film 0201 1M Ohm 1% 1/20W ±200ppm/°C Molded SMD SMD Paper T/R","R6","1"
"","12K","0805","2012","","Panasonic ERJ-6GEYJ822V","Thick Film Resistors - SMD 0805 8.2Kohms 5% Tol","R7","1"
"","470","0805","2012","","Panasonic ERJ-6GEYJ822V","Thick Film Resistors - SMD 0805 8.2Kohms 5% Tol","R8","1"
"","12K","0805","2012","","Panasonic ERJ-6GEYJ822V","Thick Film Resistors - SMD 0805 8.2Kohms 5% Tol","R9","1"
"","470","0805","2012","","Panasonic ERJ-6GEYJ822V","Thick Film Resistors - SMD 0805 8.2Kohms 5% Tol","R10","1"
"","12K","0805","2012","","Panasonic ERJ-6GEYJ822V","Thick Film Resistors - SMD 0805 8.2Kohms 5% Tol","R11","1"
"","12K","0805","2012","","Panasonic ERJ-6GEYJ822V","Thick Film Resistors - SMD 0805 8.2Kohms 5% Tol","R12","1"
"","1K","0805","2012","","Panasonic ERJ-6GEYJ822V","Thick Film Resistors - SMD 0805 8.2Kohms 5% Tol","R13","1"
"","1K","0805","2012","","Panasonic ERJ-6GEYJ822V","Thick Film Resistors - SMD 0805 8.2Kohms 5% Tol","R14","1"
"","1K","0805","2012","","Panasonic ERJ-6GEYJ822V","Thick Film Resistors - SMD 0805 8.2Kohms 5% Tol","R15","1"
"","1K","0805","2012","","Panasonic ERJ-6GEYJ822V","Thick Film Resistors - SMD 0805 8.2Kohms 5% Tol","R16","1"
"","1K","0805","2012","","Panasonic ERJ-6GEYJ822V","Thick Film Resistors - SMD 0805 8.2Kohms 5% Tol","R17","1"
"","1K","0805","2012","","Panasonic ERJ-6GEYJ822V","Thick Film Resistors - SMD 0805 8.2Kohms 5% Tol","R18","1"
"","1K","0805","2012","","Panasonic ERJ-6GEYJ822V","Thick Film Resistors - SMD 0805 8.2Kohms 5% Tol","R19","1"
"","1K","0805","2012","","Panasonic ERJ-6GEYJ822V","Thick Film Resistors - SMD 0805 8.2Kohms 5% Tol","R20","1"
"","470","0805","2012","","Panasonic ERJ-6GEYJ822V","Thick Film Resistors - SMD 0805 8.2Kohms 5% Tol","R21","1"
"","1K","0805","2012","","Panasonic ERJ-6GEYJ822V","Thick Film Resistors - SMD 0805 8.2Kohms 5% Tol","R22","1"
"","1K","0805","2012","","Panasonic ERJ-6GEYJ822V","Thick Film Resistors - SMD 0805 8.2Kohms 5% Tol","R23","1"
"","","","","","TE Connectivity FSM4JH","Switch Tactile OFF (ON) Round Button PC Pins 0.05A 12VDC 1.57N Thru-Hole Radial Tape","S1","1"
"","","","","","TE Connectivity FSM4JH","Switch Tactile OFF (ON) Round Button PC Pins 0.05A 12VDC 1.57N Thru-Hole Radial Tape","S2","1"
"","","","","","Texas Instruments (TI) LM1117MPX-ADJ/NOPB","LDO Regulator Pos 1.25V to 13.8V 0.8A 4-Pin(3+Tab) SOT-223 T/R","U1","1"
"","","","","","ACS722LLCTR-40AU-T","CURRENT SENSOR, 0.009A, NSOIC-8; Quiescent Current:9mA; Bandwidth:80kHz; Sensor Case Style:NSOIC; No. of Pins:8; Supply Voltage Min:3V; Supply Voltage Max:3.6V; Operating Temperature Min:-40 C; Operat","U2","1"
"","","","","","ACS722LLCTR-40AU-T","CURRENT SENSOR, 0.009A, NSOIC-8; Quiescent Current:9mA; Bandwidth:80kHz; Sensor Case Style:NSOIC; No. of Pins:8; Supply Voltage Min:3V; Supply Voltage Max:3.6V; Operating Temperature Min:-40 C; Operat","U3","1"
"","","","","","Allegro MicroSystems LLC ACS71020KMABTR-030B3-I2C","Single Phase, Isolated, Power Mo, +/-30A,3V3, 16 SOIC W","U4","1"
"","","MLP","","","Silicon Labs CP2102-GM","Microcontroller Solutions - Interface Products USB to UART Bdg Chip","U5","1"
